T [ms],AccX [mg],AccY [mg],AccZ [mg],GyroX [mdps],GyroY [mdps],GyroZ [mdps]
6697, -424, -582, -265, -84000, -140560, 3570
6717, -417, -564, -260, -83930, -145040, -20230
6737, -413, -546, -245, -78400, -130410, -68110
6757, -414, -540, -238, -66290, -119980, -118720
6777, -425, -555, -245, -49070, -130410, -154210
6797, -447, -600, -268, -39550, -150500, -173600
6817, -488, -677, -312, -48440, -162610, -186410
6837, -553, -784, -360, -71750, -159320, -200830
6857, -620, -895, -411, -95970, -148190, -224420
6877, -681, -1000, -464, -104930, -152950, -252770
6897, -709, -1059, -495, -97860, -187950, -272720
6917, -720, -1084, -508, -104230, -228410, -279300
6937, -719, -1071, -511, -151760, -244720, -278950
6957, -709, -1044, -506, -202790, -249690, -280280
6977, -689, -1019, -496, -224490, -257670, -290920
6997, -685, -1032, -493, -232120, -260610, -308070
7017, -710, -1101, -534, -257740, -249550, -312410
7037, -753, -1189, -589, -306180, -234990, -296450
7057, -780, -1253, -626, -339710, -226240, -273140
7077, -796, -1292, -642, -340200, -232680, -255780
7097, -781, -1283, -643, -329910, -246680, -234990
7117, -729, -1216, -613, -324310, -265790, -200550
7137, -661, -1079, -550, -329070, -276500, -159390
7157, -600, -962, -489, -333550, -270620, -121870
7177, -565, -895, -454, -327460, -262640, -84280
7197, -547, -870, -445, -307860, -261170, -45850
7217, -541, -873, -443, -276710, -253960, -20790
7237, -538, -883, -433, -243530, -228620, -15960
7257, -534, -880, -421, -214480, -190610, -22680
7277, -524, -851, -395, -186550, -162820, -22330
7297, -505, -829, -393, -163450, -153300, -7980
7317, -482, -786, -370, -140280, -155890, 15820
7337, -459, -745, -344, -117670, -136710, 24570
7357, -443, -705, -321, -99820, -101850, 20300
7377, -420, -659, -296, -72870, -76370, 15540
7397, -389, -609, -273, -35000, -65800, 12880
7417, -376, -585, -271, -1400, -54880, 12320
7437, -369, -565, -265, 14910, -31920, 16100
7457, -382, -572, -265, 22680, 12600, 8190
7477, -400, -599, -281, 29680, 64470, -7490
7497, -433, -643, -301, 52430, 101010, -23590
7517, -474, -710, -347, 86940, 122850, -39480
7537, -503, -759, -360, 124180, 137340, -60200
7557, -556, -869, -417, 170310, 149030, -85050
7577, -634, -1042, -490, 184730, 160510, -87920
7597, -710, -1177, -552, 169890, 171850, -70490
7617, -757, -1271, -616, 150430, 171780, -47740
7637, -750, -1259, -614, 147630, 142310, -27160
7657, -729, -1220, -596, 178850, 94500, -22890
7677, -691, -1141, -546, 210840, 63700, -34930
7697, -622, -1016, -471, 210000, 60760, -49910
7717, -581, -949, -450, 208740, 43260, -53830
7737, -582, -952, -463, 207340, 7630, -36820
7757, -637, -1042, -506, 198940, -11480, -26670
7777, -719, -1188, -564, 169260, 47880, -84070
7797, -748, -1266, -584, 166810, 45780, -104090
7817, -754, -1287, -596, 161560, -8330, -81200
7837, -726, -1237, -596, 144480, -68670, -46200
7857, -671, -1127, -538, 147840, -100030, -45360
7877, -605, -1012, -478, 148540, -100380, -64750
7897, -551, -906, -417, 139370, -95690, -74550
7917, -505, -821, -376, 119840, -93170, -66430
7937, -482, -772, -358, 97090, -85190, -55650
7957, -466, -741, -345, 93030, -73430, -54670
7977, -453, -719, -333, 106610, -62300, -61670
7997, -432, -689, -308, 116760, -47950, -64470
8017, -413, -663, -292, 112140, -31710, -52500
8037, -412, -666, -294, 89040, -14770, -22750
8057, -424, -677, -306, 62650, 7700, 7560
8077, -424, -666, -304, 58800, 31080, 18690
8097, -402, -624, -283, 83440, 48440, 13510
8117, -373, -578, -253, 109130, 62510, 12390
8137, -355, -546, -239, 112560, 80570, 29820
8157, -355, -534, -235, 98910, 102830, 62440
8177, -363, -536, -244, 83160, 129010, 94010
8197, -374, -540, -254, 76020, 162190, 108920
8217, -388, -551, -259, 79170, 203350, 103530
8237, -407, -570, -268, 84000, 249760, 87780
8257, -440, -610, -284, 82250, 296520, 75110
8277, -483, -681, -313, 72660, 337820, 69930
8297, -546, -780, -358, 63490, 366240, 67410
8317, -609, -894, -414, 64750, 379190, 60060
8337, -667, -1009, -471, 76160, 381640, 44800
8357, -729, -1123, -517, 83720, 383670, 24640
8377, -768, -1198, -547, 76930, 386330, 2800
8397, -776, -1216, -549, 69090, 374150, -16450
8417, -750, -1175, -526, 76930, 332010, -26880
8437, -725, -1136, -505, 90230, 277690, -36540
8457, -738, -1155, -514, 84980, 248780, -59290
8477, -768, -1210, -539, 70420, 235130, -95760
8497, -793, -1257, -553, 59710, 218610, -135450
8517, -795, -1276, -552, 50190, 191940, -168910
8537, -793, -1278, -546, 35490, 152460, -190750
8557, -792, -1294, -562, 14140, 96670, -193900
8577, -805, -1322, -589, -8330, 28000, -182560
8597, -801, -1321, -598, -38360, -17220, -184240
8617, -774, -1256, -559, -74270, -23800, -212310
8637, -728, -1164, -510, -103320, -25970, -241500
8657, -675, -1068, -468, -120820, -60900, -244300
8677, -630, -988, -442, -133980, -116340, -222600
8697, -586, -911, -411, -154910, -158340, -200480
8717, -550, -839, -384, -179690, -176890, -185500
8737, -515, -776, -356, -201390, -183190, -173040
8757, -487, -723, -333, -218330, -184870, -160650
8777, -470, -703, -340, -229040, -184800, -148400
8797, -438, -624, -276, -228830, -182840, -138320
8817, -443, -602, -266, -225890, -176260, -130200
8837, -433, -578, -273, -209160, -210420, -104230
8857, -393, -532, -264, -148050, -282730, -81200
8877, -344, -475, -235, -105070, -312970, -79450
8897, -335, -455, -216, -118860, -276920, -85190
8917, -339, -444, -202, -146720, -227920, -75530
8937, -381, -500, -237, -159390, -203560, -55650
8957, -421, -585, -299, -150990, -211400, -35770
8977, -445, -633, -327, -102410, -220640, -55230
8997, -458, -654, -321, -34090, -189210, -130830
9017, -465, -676, -305, 20020, -137060, -213710
9037, -522, -797, -359, 52360, -117180, -243740
9057, -601, -990, -470, 57890, -138180, -219310
9077, -725, -1240, -589, 54250, -171570, -181020
9097, -849, -1441, -694, 11760, -153090, -160230
9117, -868, -1448, -724, -43680, -111020, -164990
9137, -806, -1327, -677, -17990, -139440, -176120
9157, -719, -1175, -580, 51660, -188790, -208040
9177, -648, -1045, -477, 79520, -177870, -262290
9197, -620, -986, -453, 35560, -136430, -281470
9217, -624, -1003, -488, -19390, -144620, -243740
9237, -670, -1105, -553, -31990, -192360, -194880
9257, -750, -1243, -603, -50540, -172410, -200340
9277, -806, -1334, -611, -83090, -70980, -268100
9297, -786, -1324, -607, -89250, -3360, -324520
9317, -700, -1188, -554, -59360, -54320, -306180
9337, -627, -1060, -498, -36190, -146930, -244300
9357, -580, -968, -453, -67200, -164920, -202580
9377, -540, -890, -408, -113470, -122780, -189770
9397, -507, -842, -389, -119560, -87710, -186900
9417, -481, -811, -372, -107450, -66990, -180110
9437, -478, -810, -367, -96530, -36610, -173460
9457, -487, -822, -364, -90090, 5390, -166530
9477, -482, -814, -352, -77210, 39900, -150150
9497, -459, -786, -343, -50120, 43330, -118440
9517, -446, -772, -349, -21350, 21350, -8540
9537, -440, -746, -353, -11200, 24080, 32410
9557, -429, -703, -329, -9380, 79730, 38360
9577, -407, -645, -292, 9940, 128800, 31150
9597, -375, -579, -257, 52430, 140280, 40390
9617, -340, -519, -230, 100590, 121240, 74690
9637, -317, -475, -217, 132580, 105210, 123620
9657, -307, -443, -211, 146090, 110110, 173040
9677, -318, -441, -227, 147210, 140770, 209650
9697, -347, -466, -250, 142870, 195790, 221550
9717, -385, -512, -277, 141960, 264670, 206500
9737, -419, -554, -293, 154770, 327320, 180250
9757, -446, -612, -314, 176260, 365750, 169470
9777, -498, -702, -355, 184520, 383950, 190820
9797, -596, -865, -442, 161630, 403550, 233450
9817, -715, -1066, -556, 120750, 432390, 268380
9837, -810, -1231, -648, 99470, 458430, 274400
9857, -841, -1279, -665, 99190, 481530, 253050
9877, -795, -1189, -606, 101850, 497490, 222250
9897, -724, -1059, -526, 111650, 488250, 205520
9917, -668, -963, -480, 126560, 457240, 205240
9937, -665, -940, -478, 126770, 439950, 201950
9957, -705, -988, -511, 106050, 466900, 169680
9977, -756, -1052, -532, 100380, 512540, 98280
9997, -763, -1089, -530, 141120, 525280, 16660
10017, -756, -1133, -528, 199500, 479780, -28910
10037, -778, -1214, -553, 210490, 418250, -24150
10057, -826, -1308, -610, 160440, 373240, 1050
10077, -835, -1305, -602, 112350, 339920, 1820
10097, -760, -1191, -530, 110600, 304850, -35700
10117, -671, -1045, -463, 154350, 213780, -59780
10137, -595, -914, -385, 182910, 125580, -58450
10157, -539, -830, -357, 157710, 93520, -70000
10177, -517, -784, -327, 118440, 82670, -75040
10197, -506, -770, -319, 81690, 78680, -80710
10217, -507, -761, -309, 46200, 76300, -86380
10237, -484, -727, -283, 37100, 50680, -89250
10257, -486, -740, -303, 30240, 6440, -76860
